"Periodo","Mes","Codigo_departamento","Departamento","Codigo_municipio","Municipio","Nombre_comercial","Bandera","Direccion","Producto","Precio","Estado"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO GUAYMARAL","PETROMIL","KILOMETRO 16 VIA GUAYMARAL","BIODIESEL EXTRA","9.250","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO GUAYMARAL","PETROMIL","KILOMETRO 16 VIA GUAYMARAL","GASOLINA CORRIENTE OXIGENADA","9.350","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO GUAYMARAL","PETROMIL","KILOMETRO 16 VIA GUAYMARAL","BIODIESEL EXTRA","9.250","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO CORABASTOS","PETROBRAS","AVENIDA CARRERA 86 No. 42 F-18 SUR IN 2","BIODIESEL EXTRA","8.659","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO CORABASTOS","PETROBRAS","AVENIDA CARRERA 86 No. 42 F-18 SUR IN 2","GASOLINA CORRIENTE OXIGENADA","8.849","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ES BOGOTA NORTE","PUMA","CARRERA 23 No. 166-39","GASOLINA CORRIENTE OXIGENADA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ES BOGOTA NORTE","PUMA","CARRERA 23 No. 166-39","BIODIESEL EXTRA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO MILENIUM GAS CALLE 13","MOBIL","AVENIDA CALLE 17 No. 78G-11","GASOLINA EXTRA OXIGENADA","16.400","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO MILENIUM GAS CALLE 13","MOBIL","AVENIDA CALLE 17 No. 78G-11","BIODIESEL EXTRA","9.058","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO MILENIUM GAS CALLE 13","MOBIL","AVENIDA CALLE 17 No. 78G-11","GASOLINA CORRIENTE OXIGENADA","9.759","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO  TERPEL FONTIBON FERROCARRIL","TERPEL","AVENIDA CALLE 22 No. 97 B -71","BIODIESEL EXTRA","8.650","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO  TERPEL FONTIBON FERROCARRIL","TERPEL","AVENIDA CALLE 22 No. 97 B -71","GASOLINA EXTRA OXIGENADA","16.150","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO  TERPEL FONTIBON FERROCARRIL","TERPEL","AVENIDA CALLE 22 No. 97 B -71","GASOLINA CORRIENTE OXIGENADA","8.850","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS LOS ABUELOS","TERPEL","CALLE 170 No. 20 A - 34","GASOLINA EXTRA OXIGENADA","16.440","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS LOS ABUELOS","TERPEL","CALLE 170 No. 20 A - 34","BIODIESEL EXTRA","9.100","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS LOS ABUELOS","TERPEL","CALLE 170 No. 20 A - 34","GASOLINA CORRIENTE OXIGENADA","9.280","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS BIOMAX CALLE 13","BIOMAX","CARRERA 88 No. 17-09","BIODIESEL EXTRA","9.240","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS BIOMAX CALLE 13","BIOMAX","CARRERA 88 No. 17-09","BIODIESEL EXTRA","9.240","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS BIOMAX CALLE 13","BIOMAX","CARRERA 88 No. 17-09","GASOLINA CORRIENTE OXIGENADA","9.390","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS BIOMAX CALLE 13","BIOMAX","CARRERA 88 No. 17-09","GASOLINA CORRIENTE OXIGENADA","9.380","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO MOGUE LTDA","OCTANO","CL 63 SUR 4C ESTE 52","GASOLINA CORRIENTE OXIGENADA","9.120","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO MOGUE LTDA","OCTANO","CL 63 SUR 4C ESTE 52","BIODIESEL EXTRA","8.900","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO AUTOMOTRIZ EXITO AMERICAS","MOBIL","AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78","BIODIESEL EXTRA","9.830","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO AUTOMOTRIZ EXITO AMERICAS","MOBIL","AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78","GASOLINA EXTRA OXIGENADA","16.650","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO AUTOMOTRIZ EXITO AMERICAS","MOBIL","AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78","GASOLINA CORRIENTE OXIGENADA","9.130","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","GASOLINA CORRIENTE OXIGENADA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","GASOLINA CORRIENTE OXIGENADA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","GASOLINA CORRIENTE OXIGENADA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","GASOLINA CORRIENTE OXIGENADA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","GASOLINA CORRIENTE OXIGENADA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","GASOLINA CORRIENTE OXIGENADA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","GASOLINA CORRIENTE OXIGENADA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","GASOLINA CORRIENTE OXIGENADA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","BIODIESEL EXTRA","9.230","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","GASOLINA CORRIENTE OXIGENADA","8.979","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO BIOMAX PRIMAVERA","BIOMAX","CARRERA 69R 75-65","GASOLINA CORRIENTE OXIGENADA","8.979","A"
